name,address,latitude,longitude
Unknown,Unknown Address,54.9504652,-8.3502463
Unknown,Unknown Address,54.3103686,-6.55566
Unknown,Unknown Address,53.673031,-6.6810536
Unknown,Unknown Address,53.2875372,-6.7670856
Unknown,Unknown Address,54.7469185,-8.7004226
Unknown,Unknown Address,52.2628686,-10.1582639
Unknown,Unknown Address,53.2357769,-6.6457507
Unknown,Unknown Address,53.2560477,-6.8529876
Killavullen car park,Unknown Address,52.1186351,-8.5275042
Slish Wood,Unknown Address,54.2308281,-8.4013543
Unknown,Unknown Address,52.628656,-8.6647542
Unknown,Unknown Address,53.2842514,-9.049956
Unknown,Unknown Address,54.4831774,-6.8647244
Unknown,Unknown Address,54.4778545,-6.9571892
Unknown,Unknown Address,54.4654267,-6.9904344
Unknown,Unknown Address,54.4637624,-6.9926523
Unknown,Unknown Address,54.4779842,-6.9507004
Unknown,Unknown Address,54.4821503,-6.929868
Unknown,Unknown Address,54.4870371,-6.8870504
Unknown,Unknown Address,54.4829343,-6.8566848
Unknown,Unknown Address,52.5233769,-8.9383409
Unknown,Unknown Address,53.013994,-8.8584671
Unknown,Unknown Address,52.9876265,-8.8826622
SuperValu / HSQ parking,Unknown Address,53.344883,-6.2991521
Unknown,Unknown Address,53.329405,-8.2207146
Unknown,Unknown Address,53.3313075,-8.2215217
Unknown,Unknown Address,53.1856461,-6.8116129
Unknown,Unknown Address,53.5139333,-7.3442491
Unknown,Unknown Address,53.5221643,-9.4434879
Unknown,Unknown Address,53.5273686,-9.3993847
Unknown,Unknown Address,53.5427484,-9.3905564
Unknown,Unknown Address,53.5421847,-9.3087855
Unknown,Unknown Address,53.5249761,-9.3076687
Unknown,Unknown Address,53.5079105,-9.4594336
Banagher Glen,Unknown Address,54.889099,-6.955904
Unknown,Unknown Address,53.5112561,-9.454497
Unknown,Unknown Address,53.591823,-7.9787233
Ski club car park,Unknown Address,53.2236089,-6.1826161
Unknown,Unknown Address,53.5689263,-8.3249234
Unknown,Unknown Address,53.515959,-9.4046309
Unknown,Unknown Address,53.1829932,-6.7942694
Lacca,Unknown Address,53.0330734,-7.5660132
Unknown,Unknown Address,53.4912304,-9.0414213
Unknown,Unknown Address,53.4906889,-8.970602
The Village,Unknown Address,53.2523161,-6.2136891
Unknown,Unknown Address,53.1734903,-6.8970675
Unknown,Unknown Address,53.2023391,-6.8535251
Unknown,Unknown Address,53.2101366,-8.8974051
Ballyhouras MTB Car Park,Unknown Address,52.3185425,-8.5062241
Unknown,Unknown Address,53.2659365,-6.1334893
Unknown,Unknown Address,53.2679459,-6.127433
Unknown,Unknown Address,53.2615399,-6.1198697
Joels Carpark,Unknown Address,53.3153358,-6.3841794
Louis Fitzgerald Hotel Carpark,Unknown Address,53.3153572,-6.3840241
Unknown,Unknown Address,53.5663021,-9.4127715
Unknown,Unknown Address,53.5663598,-9.413639
Burger King Parking,Unknown Address,52.6626139,-8.5961242
Unknown,Unknown Address,53.0440746,-8.3982637
